time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2018/04/09/18:37:25.702829,1020,1523324245,431686615,map,0.930389404297,-0.0162124633789,0.0,0.0,0.0,-0.685335240961,0.728227716787
2018/04/09/18:37:25.813491,1021,1523324245,585106988,map,0.93217086792,-0.052848815918,0.0,0.0,0.0,-0.691904010209,0.721989501763
2018/04/09/18:37:25.935009,1022,1523324245,723064195,map,0.935111999512,-0.0885467529297,0.0,0.0,0.0,-0.695757842238,0.718276426569
2018/04/09/18:37:26.101117,1023,1523324245,861001178,map,0.940990447998,-0.114894866943,0.0,0.0,0.0,-0.683723735097,0.729740949972
2018/04/09/18:37:26.226290,1024,1523324246,14418126,map,0.951286315918,-0.148014068604,0.0,0.0,0.0,-0.665893127979,0.746047144697
2018/04/09/18:37:26.366174,1025,1523324246,152453254,map,0.971046447754,-0.178672790527,0.0,0.0,0.0,-0.648227634989,0.761446605637
2018/04/09/18:37:26.514820,1026,1523324246,290576668,map,0.986763000488,-0.205284118652,0.0,0.0,0.0,-0.623272040162,0.782005092024
2018/04/09/18:37:26.651510,1027,1523324246,443853940,map,1.00398635864,-0.232322692871,0.0,0.0,0.0,-0.60159306021,0.798802722771
2018/04/09/18:37:26.793568,1028,1523324246,581890443,map,1.01401901245,-0.254993438721,0.0,0.0,0.0,-0.587809714303,0.808999221119
2018/04/09/18:37:26.930303,1029,1523324246,719808676,map,1.01892852783,-0.256408691406,0.0,0.0,0.0,-0.586329146151,0.810072917936
2018/04/09/18:37:27.068516,1030,1523324246,873399223,map,1.01599121094,-0.257755279541,0.0,0.0,0.0,-0.585576820297,0.810616917866
2018/04/09/18:37:27.225685,1031,1523324247,11148690,map,1.01716995239,-0.24821472168,0.0,0.0,0.0,-0.579139969053,0.815228125279
